,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
25,,475.56,593.48,604.74,494.70,402.52,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,
28,,475.56,593.48,604.74,494.70,402.52,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,
29,,127.22,126.68,125.54,125.46,125.38,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2572.63,2190.35,1630.92,1201.10,852.25,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,
31,,150.00,125.00,275.00,--,100.00,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7.49,9.45,9.64,7.89,6.42,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,
1,,5809.31,5373.20,4749.95,4511.97,4478.91,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5809.31,5373.20,4749.95,4511.97,4478.91,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1308.04,1193.91,985.44,979.46,1056.49,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2815.34,2456.65,2283.20,2211.85,2058.62,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,
7,,-113.93,39.45,-38.20,-126.29,-23.29,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
9,,439.63,362.39,336.58,310.95,291.88,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,
10,,54.23,42.29,29.69,26.79,12.89,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,
16,,688.95,559.95,478.24,539.14,509.42,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
17,,617.05,718.56,675.00,570.07,572.90,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
18,,74.41,79.90,75.63,58.87,48.26,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
19,,691.46,798.46,750.63,628.94,621.16,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.69,35.31,42.91,40.67,59.60,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
21,,588.77,763.15,707.72,588.27,561.56,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,
22,,5.54,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,
23,,594.31,763.15,707.72,588.27,561.56,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,
24,,118.75,169.67,102.98,93.57,159.04,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
25,,475.56,593.48,604.74,494.70,402.52,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,
28,,475.56,593.48,604.74,494.70,402.52,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,
29,,127.22,126.68,125.54,125.46,125.38,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2572.63,2190.35,1630.92,1201.10,852.25,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,
31,,150.00,125.00,275.00,--,100.00,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7.49,9.45,9.64,7.89,6.42,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2022,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,
1,,5809.31,5373.20,4749.95,4511.97,4478.91,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5809.31,5373.20,4749.95,4511.97,4478.91,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1308.04,1193.91,985.44,979.46,1056.49,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2815.34,2456.65,2283.20,2211.85,2058.62,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,
7,,-113.93,39.45,-38.20,-126.29,-23.29,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
9,,439.63,362.39,336.58,310.95,291.88,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,
10,,54.23,42.29,29.69,26.79,12.89,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,
16,,688.95,559.95,478.24,539.14,509.42,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
17,,617.05,718.56,675.00,570.07,572.90,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
18,,74.41,79.90,75.63,58.87,48.26,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
19,,691.46,798.46,750.63,628.94,621.16,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.69,35.31,42.91,40.67,59.60,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
21,,588.77,763.15,707.72,588.27,561.56,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,
22,,5.54,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,
23,,594.31,763.15,707.72,588.27,561.56,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,
24,,118.75,169.67,102.98,93.57,159.04,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
25,,475.56,593.48,604.74,494.70,402.52,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,
28,,475.56,593.48,604.74,494.70,402.52,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,
29,,127.22,126.68,125.54,125.46,125.38,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2572.63,2190.35,1630.92,1201.10,852.25,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,
31,,150.00,125.00,275.00,--,100.00,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7.49,9.45,9.64,7.89,6.42,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2023,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Yearly Results of Escorts Kubota (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,
1,,8344.95,7152.68,6929.29,5760.95,6196.36,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,
3,,8344.95,7152.68,6929.29,5760.95,6196.36,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,
5,,5721.89,4492.43,4026.19,3450.46,4040.28,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,
6,,509.03,508.74,440.08,370.37,403.99,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,
7,,-163.98,-68.37,127.40,-1.21,-203.62,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,
9,,594.97,528.27,534.55,510.32,471.74,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,
10,,148.43,129.75,115.70,104.55,85.37,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,
16,,902.62,740.30,671.84,755.19,750.68,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,
17,,631.99,821.56,1013.53,571.27,647.92,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,
18,,280.56,213.02,154.56,92.25,80.85,,2018,escortskubota,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,
